Food_code,Protein,Total Fat,Carbohydrate,"Sugars, total","Fiber, total dietary",Calcium,Iron,Sodium,Vitamin D (D2 + D3),Cholesterol,"Fatty acids, total saturated",Potassium,Energy,Main_food_description,catnumb,catname,novaclass,macroclass
11000000,1.03,4.38,6.89,6.89,0.0,32.0,0.03,17.0,0.1,14.0,2.009,51.0,70.0,"Milk, human",9602,Human milk,1,Milk
11100000,3.28,1.91,4.85,5.08,0.0,119.0,0.03,44.0,1.2,7.0,1.154,142.0,50.0,"Milk, NFS",1004,"Milk, reduced fat",1,Milk
11111000,3.15,3.25,4.8,5.05,0.0,113.0,0.03,43.0,1.3,10.0,1.865,132.0,61.0,"Milk, cow's, fluid, whole",1002,"Milk, whole",1,Milk
11111100,3.1,3.46,4.46,4.46,0.0,101.0,0.05,3.0,1.3,14.0,2.154,253.0,61.0,"Milk, cow's, fluid, whole, low-sodium",1002,"Milk, whole",1,Milk
11111150,3.14,3.24,4.79,5.04,0.0,412.0,0.03,43.0,1.3,10.0,1.859,132.0,61.0,"Milk, calcium fortified, cow's, fluid, whole",1002,"Milk, whole",1,Milk
11111160,3.37,0.97,4.99,5.2,0.0,225.0,0.03,44.0,1.2,5.0,0.632,150.0,42.0,"Milk, calcium fortified, cow's, fluid, 1% fat",1006,"Milk, lowfat",1,Milk
11111170,3.4,0.18,4.85,4.85,0.0,204.0,0.04,52.0,1.2,2.0,0.117,166.0,35.0,"Milk, calcium fortified, cow's, fluid, skim or nonfat",1008,"Milk, nonfat",1,Milk
11112110,3.3,1.98,4.8,5.06,0.0,120.0,0.02,47.0,1.2,8.0,1.257,140.0,50.0,"Milk, cow's, fluid, 2% fat",1004,"Milk, reduced fat",1,Milk
11112120,3.37,0.97,4.99,5.2,0.0,125.0,0.03,44.0,1.2,5.0,0.633,150.0,42.0,"Milk, cow's, fluid, acidophilus, 1% fat",1006,"Milk, lowfat",1,Milk
11112130,3.3,1.98,4.8,5.06,0.0,120.0,0.02,47.0,1.2,8.0,1.257,140.0,50.0,"Milk, cow's, fluid, acidophilus, 2% fat",1004,"Milk, reduced fat",1,Milk
11112210,3.37,0.97,4.99,5.2,0.0,125.0,0.03,44.0,1.2,5.0,0.633,150.0,42.0,"Milk, cow's, fluid, 1% fat",1006,"Milk, lowfat",1,Milk
11113000,3.37,0.08,4.96,5.09,0.0,122.0,0.03,42.0,1.2,2.0,0.056,156.0,34.0,"Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat",1008,"Milk, nonfat",1,Milk
